Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_TestSuites,Firefox 95.0,,,16-01-2024 20:05:06,16-01-2024 20:05:42,35.390s,PASSED
,,,,,,,
Test Cases/Login/TC_CURA_Login_001,Firefox 95.0,,,16-01-2024 20:05:07,16-01-2024 20:05:42,35.250s,PASSED
"openBrowser("""")",Firefox 95.0,,,16-01-2024 20:05:07,16-01-2024 20:05:25,18.133s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 95.0,,,16-01-2024 20:05:25,16-01-2024 20:05:29,3.843s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Firefox 95.0,,,16-01-2024 20:05:29,16-01-2024 20:05:31,2.106s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/a_Login""))",Firefox 95.0,,,16-01-2024 20:05:31,16-01-2024 20:05:33,1.943s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Firefox 95.0,,,16-01-2024 20:05:33,16-01-2024 20:05:35,1.915s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Firefox 95.0,,,16-01-2024 20:05:35,16-01-2024 20:05:36,1.021s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/button_Login""))",Firefox 95.0,,,16-01-2024 20:05:36,16-01-2024 20:05:38,2.359s,PASSED
closeBrowser(),Firefox 95.0,,,16-01-2024 20:05:38,16-01-2024 20:05:42,3.745s,PASSED
