Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite_MakeAppointment_002,Chrome 120.0.0.0,,,17-01-2024 11:15:41,17-01-2024 11:16:13,31.739s,PASSED
,,,,,,,
Test Cases/MakeAppointment/TC_CURA MakeAppointmentvalidation 002,Chrome 120.0.0.0,,,17-01-2024 11:15:48,17-01-2024 11:16:13,24.809s,PASSED
Start listener action : beforeTestCase,Chrome 120.0.0.0,,,17-01-2024 11:15:48,17-01-2024 11:15:48,0.001s,PASSED
Start setup action : setupTestCase,Chrome 120.0.0.0,,,17-01-2024 11:15:48,17-01-2024 11:15:48,0.002s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,17-01-2024 11:15:48,17-01-2024 11:15:50,1.933s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,17-01-2024 11:15:50,17-01-2024 11:15:57,6.228s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage MakeAppointmentValidation OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,17-01-2024 11:15:57,17-01-2024 11:15:58,1.175s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage MakeAppointmentValidation OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,17-01-2024 11:15:58,17-01-2024 11:15:59,0.875s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Cura Pages/CuraPage MakeAppointmentValidation OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,17-01-2024 11:15:59,17-01-2024 11:16:00,1.629s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage MakeAppointmentValidation OR/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,17-01-2024 11:16:00,17-01-2024 11:16:02,2.167s,PASSED
"verifyElementPresent(findTestObject(""Dropdown/select_Tokyo CURA Healthcare Center                            Hongkong CURA Healthcare Center                            Seoul CURA Healthcare Center""), 10)",Chrome 120.0.0.0,,,17-01-2024 11:16:02,17-01-2024 11:16:03,0.366s,PASSED
delay(2),Chrome 120.0.0.0,,,17-01-2024 11:16:03,17-01-2024 11:16:05,2.022s,PASSED
"verifyElementPresent(findTestObject(""radiobutton/input_Medicaid_programs""), 10)",Chrome 120.0.0.0,,,17-01-2024 11:16:05,17-01-2024 11:16:05,0.418s,PASSED
"isRadioButtonNotChecked = verifyElementNotChecked(findTestObject(""radiobutton/input_Medicaid_programs""), 10)",Chrome 120.0.0.0,,,17-01-2024 11:16:05,17-01-2024 11:16:06,0.351s,PASSED
if (isRadioButtonNotChecked),Chrome 120.0.0.0,,,17-01-2024 11:16:06,17-01-2024 11:16:07,1.002s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,17-01-2024 11:16:07,17-01-2024 11:16:13,6.500s,PASSED
Start tear down : tearDownTestCase,Chrome 120.0.0.0,,,17-01-2024 11:16:13,17-01-2024 11:16:13,0.001s,PASSED
Start listener action : afterTestCase,Chrome 120.0.0.0,,,17-01-2024 11:16:13,17-01-2024 11:16:13,0.001s,PASSED
